Date,Username,User tag,Content,Mentions,link
"2020-08-04,14:05:59","white_give","#0","youwu ren wan","",""
"2020-08-04,14:06:12",".misoudon","#0","我刚醒","",""
"2020-08-04,14:06:24","white_give","#0","ok","",""
"2020-08-04,14:06:39",".misoudon","#0","我刷个牙洗个脸的","",""
"2020-08-04,14:07:00",".misoudon","#0","去看我群里发的","",""
"2020-08-04,14:07:49","white_give","#0","我服了","",""
"2020-08-04,14:08:02",".misoudon","#0","哦哦哦哦哦哦哦哦","",""
"2020-08-04,14:08:04",".misoudon","#0","阿哈哈哈哈哈","",""
"2020-08-04,14:41:02","Deleted User","#0000","来了","",""
"2020-08-04,14:41:50","Deleted User","#0000","<@!688923339166711866>","white_give#0",""
"2020-08-04,14:57:37","itwillbe_fine","#0","你们先玩待会，我去吃饭了","",""
"2020-08-04,15:03:26",".misoudon","#0","我吃饭","",""
"2020-08-04,15:03:30",".misoudon","#0","马上来","",""
"2020-08-04,15:29:18","Deleted User","#0000","<@!650875400813150208> <@!688923339166711866> <@!534634605664403456> henry吃饭去了",".misoudon#0、itwillbe_fine#0、white_give#0",""
"2020-08-04,15:29:22","Deleted User","#0000","十分钟后来","",""
"2020-08-04,15:43:48","然_","#5256","来了","",""
"2020-08-04,15:45:03",".misoudon","#0","马上吃完","",""
"2020-08-04,15:48:33","Deleted User","#0000","<@!650875400813150208>","itwillbe_fine#0",""
"2020-08-04,15:51:12","然_","#5256","奥力给好吃","",""
"2020-08-04,15:51:54","然_","#5256","","","https://cdn.discordapp.com/attachments/650879635092930581/740084583693025369/unknown.png?ex=65efed7a&is=65dd787a&hm=67a765352389e1b6a66a935970c9566a1c28623fe91b8b46176199876f56a01d&"
"2020-08-04,17:26:27","然_","#5256","https://www.bilibili.com/video/BV1yv411q7W6/","",""
"2020-08-04,22:13:13","Deleted User","#0000","有人玩吗","",""
"2020-08-04,22:13:18","然_","#5256","有","",""
"2020-08-04,22:13:19",".misoudon","#0","1","",""
"2020-08-04,22:13:19","Deleted User","#0000","我快被排位打吐了","",""
"2020-08-04,22:13:20","然_","#5256","等我","",""
"2020-08-04,22:16:05","Deleted User","#0000","那我们打一把极地","",""
"2020-08-04,23:27:12",".misoudon","#0","<@456226577798135808> 我在直播教他中午","Deleted User#0000",""
"2020-08-05,08:58:56","Deleted User","#0000","老师不在","",""
"2020-08-05,08:58:59","Deleted User","#0000","起飞","",""
"2020-08-05,11:49:39","然_","#5256","","","https://cdn.discordapp.com/attachments/650879635092930581/740386004455653517/unknown.png?ex=65f10633&is=65de9133&hm=445668089b3eac2c3b9f262ebd6691a464408dcb262c61c8f410796863627025&"
"2020-08-05,12:23:42","然_","#5256","","","https://cdn.discordapp.com/attachments/650879635092930581/740394576056942612/unknown.png?ex=65f10e2e&is=65de992e&hm=b530566d8161d9e93c52bf0df9abf2f833ba58da7964d0d106e180a452937010&"
"2020-08-05,12:24:28",".misoudon","#0","看来以后这纳儿得上ban位了","",""
"2020-08-05,12:24:28","然_","#5256","c不动","",""
"2020-08-05,12:25:04","然_","#5256","这上路十分钟死七次怎么玩","",""
"2020-08-05,12:25:07","然_","#5256","我服了","",""
"2020-08-05,12:25:25",".misoudon","#0","这锐雯","",""
"2020-08-05,12:25:30",".misoudon","#0","老锐雯？","",""
"2020-08-05,12:25:38","然_","#5256","真的的我都不知道他黄金怎么上的","",""
"2020-08-05,12:25:46",".misoudon","#0","咋最近这么多玩瑞文的","",""
"2020-08-05,13:55:59","white_give","#0","有无人冲","",""
"2020-08-05,13:56:12",".misoudon","#0","11111","",""
"2020-08-05,13:56:25",".misoudon","#0","泡杯茶就来","",""
"2020-08-05,14:14:13",".misoudon","#0","<@456226577798135808>","Deleted User#0000",""
"2020-08-05,14:18:29","white_give","#0","<@!486098923488935948>","然_#5256",""
"2020-08-05,18:43:01","Deleted User","#0000","dd\","",""
"2020-08-05,18:57:18","white_give","#0","11","",""
"2020-08-05,18:57:37",".misoudon","#0","在吃饭","",""
"2020-08-05,19:55:44","Deleted User","#0000","<@!486098923488935948> 玩吗","然_#5256",""
"2020-08-05,21:26:51","然_","#5256","我们可以lpl","",""
"2020-08-05,21:26:59","然_","#5256","进clash？","",""
"2020-08-05,21:27:06","Deleted User","#0000","几个人","",""
"2020-08-05,21:52:19","然_","#5256","溜了，等一波矿哥","",""
"2020-08-05,21:52:27",".misoudon","#0","kk","",""
"2020-08-05,21:52:30","Deleted User","#0000","可以","",""
"2020-08-05,21:52:36","Deleted User","#0000","他来了就冲","",""
"2020-08-05,21:52:41","然_","#5256","正好will吃宵夜","",""
"2020-08-06,19:47:52","white_give","#0","有无人","",""
"2020-08-06,19:49:03",".misoudon","#0","1","",""
"2020-08-06,19:49:23","white_give","#0","chong","",""
"2020-08-06,20:02:36","然_","#5256","在上课","",""
"2020-08-06,20:02:42","然_","#5256","845来","",""
"2020-08-06,20:02:48",".misoudon","#0","ok","",""
"2020-08-07,09:01:36","Deleted User","#0000","catherine 的头像就离谱","",""
"2020-08-07,09:01:53","itwillbe_fine","#0","确实","",""
"2020-08-07,09:02:36","Deleted User","#0000","henry不会还没起吧","",""
"2020-08-07,09:07:47","Deleted User","#0000","matt 就尼玛离谱","",""
"2020-08-07,09:08:02","itwillbe_fine","#0","开始鬼叫了","",""
"2020-08-07,09:40:09","Deleted User","#0000","<@!486098923488935948> 你好像写完了","然_#5256",""
"2020-08-07,09:40:19","Deleted User","#0000","就是5.2 的背面","",""
"2020-08-07,09:41:01","white_give","#0","我们今天两节spare","",""
"2020-08-07,09:41:18","white_give","#0","我好难受 我学不到新知识了","",""
"2020-08-07,09:41:43","Deleted User","#0000","离谱","",""
"2020-08-07,09:42:35","itwillbe_fine","#0","？？","",""
"2020-08-07,10:50:24","Deleted User","#0000","永恩有bug","",""
"2020-08-07,10:50:26","Deleted User","#0000","我吐了","",""
"2020-08-07,10:50:32","itwillbe_fine","#0","？","",""
"2020-08-07,10:50:36","itwillbe_fine","#0","啥意思","",""
"2020-08-07,10:50:50","itwillbe_fine","#0","我刚还在训练营玩了一会","",""
"2020-08-07,10:51:10","Deleted User","#0000","他不灭之握有几率不触发","",""
"2020-08-07,10:52:04","watashinokato","#0","永恩带什么不灭","",""
"2020-08-07,10:52:21","watashinokato","#0","出肉吗","",""
"2020-08-07,10:54:09","watashinokato","#0","建议买宇智波瑞雯👍","",""
"2020-08-07,10:54:22","white_give","#0","🤺","",""
