Date,Username,User tag,Content,Mentions,link
"2019-12-02,13:08:04","itwillbe_fine","#0","lewis 我爱了","",""
"2019-12-02,13:08:07","itwillbe_fine","#0","好帅好喜欢","",""
"2019-12-02,13:08:21","然_","#5256","但是Lewis只爱皇帝","",""
"2019-12-02,13:08:25","然_","#5256","你来晚了","",""
"2019-12-05,11:16:37","然_","#5256","wdnmd lewis","",""
"2019-12-05,11:17:04","itwillbe_fine","#0","https://www.pornhub.com/","",""
"2019-12-05,11:18:06","然_","#5256","https://tenor.com/view/antm-americas-next-top-model-miss-j-jalexander-shocked-gif-3874067","",""
"2020-03-16,19:09:26","Deleted User","#0000","_help","",""
"2020-03-16,19:09:26","Octave","#8315","","",""
"2020-03-16,19:10:32","Deleted User","#0000","_play","",""
"2020-03-16,19:10:32","Octave","#8315","","",""
"2020-03-16,19:18:23","white_give","#0","_play","",""
"2020-03-16,19:18:23","Octave","#8315","","",""
"2020-03-16,19:18:47","white_give","#0","_ Black Space","",""
"2020-03-16,21:33:45","itwillbe_fine","#0","<@456226577798135808> 到以后打的话来一手@","Deleted User#0000",""
"2020-03-16,21:33:52","itwillbe_fine","#0","我写一下中数","",""
"2020-03-16,21:33:59","Deleted User","#0000","ok 没问题","",""
"2020-03-17,10:32:23","Deleted User","#0000","<@!650875400813150208> <@!486098923488935948> 你们？？？","itwillbe_fine#0、然_#5256",""
"2020-03-17,10:32:37","Deleted User","#0000","没去读书？？","",""
"2020-03-17,10:32:42","然_","#5256","我在上高数","",""
"2020-03-17,10:32:43","itwillbe_fine","#0","我们在上高数","",""
"2020-03-17,10:32:52","Deleted User","#0000","哈哈哈哈","",""
"2020-03-17,10:32:55","Deleted User","#0000","行吧","",""
"2020-03-17,10:33:00",".misoudon","#0","我在床上","",""
"2020-03-17,10:33:04","Deleted User","#0000","哈哈哈哈哈","",""
"2020-03-17,10:33:13",".misoudon","#0","这个爽啊","",""
"2020-03-17,10:33:16",".misoudon","#0","woc","",""
"2020-03-17,10:33:19","Deleted User","#0000","爽","",""
"2020-03-17,10:33:21","然_","#5256","我在你床上","",""
"2020-03-17,10:33:22",".misoudon","#0","老子直接放假了","",""
"2020-03-17,10:33:28",".misoudon","#0","我不要你","",""
"2020-03-17,10:34:44","然_","#5256","😦","",""
"2020-03-17,10:37:04","itwillbe_fine","#0","Eva问我William怎么没来","",""
"2020-03-17,10:37:15",".misoudon","#0","真的假的","",""
"2020-03-17,10:37:19","itwillbe_fine","#0","真的","",""
"2020-03-17,10:37:26",".misoudon","#0","😁😁😁😁😁","",""
"2020-03-17,10:37:27","Deleted User","#0000","?????","",""
"2020-03-17,10:37:28","itwillbe_fine","#0","她问我William是不是生病了","",""
"2020-03-17,10:37:33",".misoudon","#0","woc","",""
"2020-03-17,10:37:35","Deleted User","#0000","哈哈哈","",""
"2020-03-17,10:37:37",".misoudon","#0","我好开心","",""
"2020-03-17,10:37:41","Deleted User","#0000","eva lover","",""
"2020-03-17,10:37:42",".misoudon","#0","哇","",""
"2020-03-17,10:37:44",".misoudon","#0","阿哈哈哈哈","",""
"2020-03-17,10:37:45","Deleted User","#0000","启动","",""
"2020-03-17,10:37:54",".misoudon","#0","兄弟你最好别是骗我","",""
"2020-03-17,10:38:05","itwillbe_fine","#0","那我告诉你这都是假的","",""
"2020-03-17,10:38:07","itwillbe_fine","#0","你怎么说","",""
"2020-03-17,10:38:13",".misoudon","#0","我tm","",""
"2020-03-17,10:38:17",".misoudon","#0","操","",""
"2020-03-17,10:38:19",".misoudon","#0","心态炸了","",""
"2020-03-17,10:38:20","Deleted User","#0000","很舒服","",""
"2020-03-17,10:38:22","Deleted User","#0000","哈哈哈哈哈哈哈","",""
"2020-03-17,10:38:24","然_","#5256","别开心了，快去打使徒","",""
"2020-03-17,10:38:37",".misoudon","#0","卧槽我心态真炸了","",""
"2020-03-17,10:38:41",".misoudon","#0","啊啊啊啊啊啊啊","",""
"2020-03-17,10:38:47","Deleted User","#0000","https://tenor.com/view/mordecai-swagging-elector-dance-gif-14403414","",""
"2020-03-17,10:39:56",".misoudon","#0","唉","",""
"2020-03-17,10:40:11",".misoudon","#0","阿伟你不爱我了","",""
"2020-03-17,10:40:17",".misoudon","#0","你居然骗我","",""
"2020-03-17,10:40:32",".misoudon","#0","我好伤心","",""
"2020-03-17,10:42:09","itwillbe_fine","#0","EVA爱你","",""
"2020-03-17,10:42:43",".misoudon","#0","你骗我","",""
"2020-03-17,10:44:14","然_","#5256","没事William","",""
"2020-03-17,10:44:19","然_","#5256","老黄爱你","",""
"2020-03-17,10:44:59",".misoudon","#0","。。。","",""
"2020-03-17,10:45:03",".misoudon","#0","我说真的","",""
"2020-03-17,10:45:08",".misoudon","#0","我白高兴一场","",""
"2020-03-17,10:45:22","然_","#5256","William我想开初号机","",""
"2020-03-17,10:45:27","itwillbe_fine","#0","老黄问我William怎么没来，她还说好心疼William想买点东西去看望William","",""
"2020-03-17,10:45:38",".misoudon","#0","哇","",""
"2020-03-17,10:45:39","然_","#5256","对的对的","",""
"2020-03-17,10:45:40","itwillbe_fine","#0","她说William是她的大宝贝","",""
"2020-03-17,10:45:46","然_","#5256","嘻嘻","",""
"2020-03-17,10:45:49",".misoudon","#0","哇","",""
"2020-03-17,10:45:52",".misoudon","#0","兄弟别告我","",""
"2020-03-17,10:45:55",".misoudon","#0","搞","",""
"2020-03-17,10:46:04","然_","#5256","在床上躺好吧William","",""
"2020-03-17,10:46:06","然_","#5256","：）","",""
"2020-03-17,10:46:11",".misoudon","#0","我现在还因为eva那是难受着呢","",""
"2020-03-17,10:46:34",".misoudon","#0","我tm刚才开心到从床上跳了下来","",""
"2020-03-17,10:47:13","然_","#5256","要我叫救护车吗","",""
"2020-03-17,10:47:17","然_","#5256","妈妈怕","",""
"2020-03-17,10:47:29","itwillbe_fine","#0","爸爸也怕","",""
"2020-03-17,10:47:43",".misoudon","#0","我日你mmp","",""
"2020-03-17,10:47:59","然_","#5256","话说","",""
"2020-03-17,10:48:09","然_","#5256","日你的奶奶不是很体面吧","",""
"2020-03-17,10:48:15",".misoudon","#0","等下","",""
"2020-03-17,10:48:32","itwillbe_fine","#0","这是乱伦啊不孝子","",""
"2020-03-17,10:48:38",".misoudon","#0","于冬felicita第二节没上课？","",""
"2020-03-17,10:48:50","然_","#5256","无","",""
"2020-03-17,10:49:02",".misoudon","#0","woc那她人呢？","",""
"2020-03-17,10:49:19","然_","#5256","被你抓走了","",""
"2020-03-17,10:49:20",".misoudon","#0","我这么久可从来没见过她逃课","",""
"2020-03-17,10:49:27",".misoudon","#0","嗯？？？？？","",""
"2020-03-17,10:49:34","itwillbe_fine","#0","于冬悦今天没来","",""
"2020-03-17,10:49:49","itwillbe_fine","#0","你关心这个干什么","",""
"2020-03-17,10:49:57","itwillbe_fine","#0","为什么","",""
"2020-03-17,10:50:05","itwillbe_fine","#0","不关心eva","",""
"2020-03-17,10:50:13","itwillbe_fine","#0","为什么不关心eva","",""
"2020-03-17,10:50:14","然_","#5256","马萨卡？","",""
"2020-03-17,10:50:15",".misoudon","#0","因为昨天corina跟我说她想和ydy逃课","",""
"2020-03-17,10:50:17","itwillbe_fine","#0","为什么为什么","",""
"2020-03-17,10:50:18","itwillbe_fine","#0","为什么","",""
"2020-03-17,10:50:20",".misoudon","#0","woc","",""
"2020-03-17,10:50:23",".misoudon","#0","你来有毒啊","",""
"2020-03-17,10:50:25",".misoudon","#0","俩","",""
"2020-03-17,10:50:50",".misoudon","#0","我tm倒想关心eva可tm她在上eal","",""
