Date,Username,User tag,Content,Mentions,link
"2023-07-29,17:17:58",".misoudon","#0","傻逼","",""
"2023-07-29,17:18:04","okainotonline","#0","😭","",""
"2023-07-29,17:18:17","okainotonline","#0","我都不知道你家地址我怎么来","",""
"2023-07-29,17:18:26","okainotonline","#0","谁是傻逼？","",""
"2023-07-29,17:18:33","okainotonline","#0","谁差点信了谁是傻逼","",""
"2023-07-29,17:18:38","okainotonline","#0","😋","",""
"2023-07-29,17:18:39",".misoudon","#0","md","",""
"2023-07-29,17:18:43",".misoudon","#0","爬","",""
"2023-07-29,17:19:18","okainotonline","#0","其实我真来了","",""
"2023-07-29,17:20:14",".misoudon","#0","2708","",""
"2023-07-29,17:20:19","xx_lpyyds","#0","顶级拉扯","",""
"2023-07-29,17:20:27",".misoudon","#0","你能摁响我就信你","",""
"2023-07-29,17:20:33","tz0826z","#0","我也看到了","","https://cdn.discordapp.com/attachments/975015717613232158/1134747275130851348/image.png?ex=65ec0dc0&is=65d998c0&hm=d0566411485b3d7aeb58ca6668f8ee0600886a559fddcc2f30b58f4022a31beb&"
"2023-07-29,17:20:41","tz0826z","#0","他说的是真的","",""
"2023-07-29,17:20:54","okainotonline","#0","🔪🔪💀","",""
"2023-07-29,17:21:02",".misoudon","#0","https://tenor.com/view/sadcat-gif-25701972","",""
"2023-07-29,17:21:21",".misoudon","#0","<@771659074319941654> 打否","tz0826z#0",""
"2023-07-29,17:21:28",".misoudon","#0","才看见你的信息","",""
"2023-07-29,17:21:40","tz0826z","#0","快去接oKai","",""
"2023-07-29,17:21:57",".misoudon","#0","接锤子","",""
"2023-07-29,17:22:02","okainotonline","#0","快来 下楼来","",""
"2023-07-29,17:22:15","okainotonline","#0","如果我在下面怎么说","",""
"2023-07-29,17:22:23","okainotonline","#0","请我吃饭怎么说","",""
"2023-07-29,17:22:26",".misoudon","#0","可以","",""
"2023-07-29,17:22:42","okainotonline","#0","OK你可以下来带我去吃饭了","",""
"2023-07-29,17:22:49","jackyhe30","#0","威廉能请我吃吗","",""
"2023-07-29,17:22:52",".misoudon","#0","你摁门铃","",""
"2023-07-29,17:22:55",".misoudon","#0","你去死","",""
"2023-07-29,17:22:57","xx_lpyyds","#0","+1","",""
"2023-07-29,17:22:58","jackyhe30","#0","?","",""
"2023-07-29,17:23:07","jackyhe30","#0","你就请Lewis","",""
"2023-07-29,17:23:10",".misoudon","#0","对","",""
"2023-07-29,17:23:10","jackyhe30","#0","不请我？","",""
"2023-07-29,17:23:13","jackyhe30","#0","？","",""
"2023-07-29,17:23:38","tz0826z","#0","他发照片了","","https://cdn.discordapp.com/attachments/975015717613232158/1134748052935163915/image.png?ex=65ec0e7a&is=65d9997a&hm=a8c9020b5f0d876dfb1a6a8d9d54a0bcfaac9d567f35ce4e01d00abfeaa13f5f&"
"2023-07-29,17:23:43",".misoudon","#0","6","",""
"2023-07-29,17:23:47","okainotonline","#0","我现在就一整个薛定谔状态 直到威廉下楼","",""
"2023-07-29,17:23:53","okainotonline","#0","确定我来没来","",""
"2023-07-29,17:23:55",".misoudon","#0","6","",""
"2023-07-29,17:24:04","jackyhe30","#0","那肯定是没来","",""
"2023-07-29,17:24:06","okainotonline","#0","你快下来","",""
"2023-07-29,17:24:09","okainotonline","#0","我真走了","",""
"2023-07-29,17:24:21",".misoudon","#0","走吧","",""
