Date,Username,User tag,Content,Mentions,link
"2020-06-04,10:23:35","Deleted User","#0000","<@&689040665337921543>","",""
"2020-06-04,10:46:41","然_","#5256","<@!534634605664403456>",".misoudon#0",""
"2020-06-04,10:46:50",".misoudon","#0","？","",""
"2020-06-04,10:46:55","然_","#5256","嘻嘻","",""
"2020-06-04,10:47:02",".misoudon","#0","咋的了","",""
"2020-06-04,10:47:29",".misoudon","#0","？","",""
"2020-06-04,10:47:32","然_","#5256","没什么事","",""
"2020-06-04,10:47:35","然_","#5256","想你了","",""
"2020-06-04,10:47:39","然_","#5256","😘","",""
"2020-06-04,10:47:40",".misoudon","#0","？？？","",""
"2020-06-04,10:47:50",".misoudon","#0","下周二不就见着了","",""
"2020-06-04,10:48:45","然_","#5256","😍","",""
"2020-06-04,10:59:06","itwillbe_fine","#0","https://tenor.com/view/azumanga-daioh-azumanga-anime-laugh-kagura-gif-17338276","",""
"2020-06-04,10:59:18",".misoudon","#0","👂","",""
"2020-06-04,10:59:31","然_","#5256","🦻","",""
"2020-06-04,12:16:15","Deleted User","#0000","卧槽","",""
"2020-06-04,12:16:21",".misoudon","#0","？","",""
"2020-06-04,12:16:29","Deleted User","#0000","eva头发扎起来了","",""
"2020-06-04,12:16:34",".misoudon","#0","？","",""
"2020-06-04,12:16:38",".misoudon","#0","丸子头？","",""
"2020-06-04,12:16:41","Deleted User","#0000","对","",""
"2020-06-04,12:16:56",".misoudon","#0","她不是经常扎吗","",""
"2020-06-04,12:17:04",".misoudon","#0","我还以为她扎马尾了","",""
"2020-06-04,12:17:08","Deleted User","#0000","你可以来看看","",""
"2020-06-04,12:17:26","Deleted User","#0000","她眼镜也摘了","",""
"2020-06-04,12:17:30",".misoudon","#0","我知道她扎丸子头啥样","",""
"2020-06-04,12:17:36",".misoudon","#0","？？？？？？","",""
"2020-06-04,12:17:36","Deleted User","#0000","还化了妆","",""
"2020-06-04,12:17:42",".misoudon","#0","化妆？？？？","",""
"2020-06-04,12:17:46","Deleted User","#0000","对","",""
"2020-06-04,12:17:46",".misoudon","#0","等会","",""
