Date,Username,User tag,Content,Mentions,link
"2020-10-31,19:42:04","Deleted User","#0000","<@!688923339166711866> 你们还玩吗","white_give#0",""
"2020-10-31,19:42:22","white_give","#0","玩","",""
"2020-10-31,19:43:42","white_give","#0","等我们几分钟","",""
"2020-10-31,22:44:34","watashinokato","#0","狮子狗冲！！！","",""
"2020-10-31,22:44:47",".misoudon","#0","噗哈哈哈哈哈哈","",""
"2020-10-31,22:45:00",".misoudon","#0","可算等到了","",""
"2020-10-31,23:06:13",".misoudon","#0","<@714137754694451271> 阿矿狮子狗这出装啥意思","watashinokato#0",""
"2020-10-31,23:07:27","watashinokato","#0","问得好 我也不知道","",""
"2020-10-31,23:08:31","watashinokato","#0","我以为出暴力装","",""
"2020-10-31,23:09:42",".misoudon","#0","哪天你试试cd流","",""
"2020-10-31,23:10:45","watashinokato","#0","这是职业比赛才有用","",""
"2020-10-31,23:10:55","watashinokato","#0","路人局铁定完蛋","",""
"2020-11-19,20:12:31","Deleted User","#0000","https://tenor.com/view/aww-sweet-little-rascals-gif-9302708","",""
"2020-11-19,20:57:57","Deleted User","#0000","<@!534634605664403456>",".misoudon#0",""
"2020-11-19,20:58:11",".misoudon","#0","？","",""
"2020-11-19,20:59:38","然_","#5256","yy?","",""
"2020-11-20,22:02:57","Deleted User","#0000","你们语音吗","",""
"2020-11-20,22:03:26","然_","#5256","1","",""
"2020-11-21,20:18:23","Deleted User","#0000","@everyone 玩吗","",""
"2020-11-21,20:18:52","然_","#5256","1","",""
"2020-11-21,20:19:16","然_","#5256","上号","",""
"2020-11-21,20:21:41","Deleted User","#0000","<@!534634605664403456> 来吗",".misoudon#0",""
"2020-11-21,20:21:55",".misoudon","#0","我刚到家","",""
"2020-11-21,20:22:03",".misoudon","#0","吃个饭洗个澡回来","",""
"2020-11-21,20:22:05",".misoudon","#0","就来","",""
"2020-11-21,20:22:07","然_","#5256","ok","",""
"2020-11-21,20:22:10",".misoudon","#0","你们先打一把","",""
"2020-11-21,20:22:55","然_","#5256","我们去clashyy","",""
"2020-11-22,23:14:12","itwillbe_fine","#0","好了微信我","",""
"2020-11-22,23:14:44",".misoudon","#0","ok","",""
"2020-11-22,23:16:49","然_","#5256","1","",""
"2020-11-23,20:38:01","Deleted User","#0000","😴","",""
"2020-12-01,18:11:03","white_give","#0","<@!534634605664403456>",".misoudon#0",""
"2020-12-01,18:11:22",".misoudon","#0","？","",""
"2020-12-01,18:11:29","white_give","#0","lai ma","",""
"2020-12-01,18:11:33",".misoudon","#0","OKOK","",""
"2020-12-01,18:11:34","white_give","#0","4 que 1","",""
"2020-12-01,18:11:39",".misoudon","#0","刚睡醒","",""
"2020-12-01,18:11:55",".misoudon","#0","来啦来啦啊啊啊","",""
"2020-12-03,16:44:40","Deleted User","#0000","<@!534634605664403456> 你玩吗",".misoudon#0",""
"2020-12-03,16:44:54",".misoudon","#0","玩","",""
"2020-12-03,16:49:51","Deleted User","#0000","<@!714137754694451271> 进语音","watashinokato#0",""
"2020-12-03,19:37:24","Deleted User","#0000","我快搞好了","",""
"2020-12-03,19:37:36",".misoudon","#0","你买了啥","",""
"2020-12-03,19:37:39","Deleted User","#0000","在下载联盟了","",""
"2020-12-03,19:37:47",".misoudon","#0","就显示屏？","",""
"2020-12-03,19:37:50",".misoudon","#0","还是pc","",""
"2020-12-03,19:37:57","Deleted User","#0000","都买了","",""
"2020-12-03,19:38:05",".misoudon","#0","woc","",""
"2020-12-03,19:38:10",".misoudon","#0","一个set up 啊","",""
"2020-12-03,19:38:17","Deleted User","#0000","直接起飞","",""
"2020-12-03,19:38:22",".misoudon","#0","卧槽卧槽","",""
"2020-12-03,19:38:36",".misoudon","#0","老路要上王者了","",""
"2020-12-03,19:38:47","Deleted User","#0000","那是肯定的","",""
"2020-12-03,19:42:02","white_give","#0","够时间我再开一把吗","",""
"2020-12-03,19:42:33","Deleted User","#0000","够","",""
"2020-12-03,19:42:41","white_give","#0","👌","",""
"2020-12-03,19:42:47","Deleted User","#0000","我还要下载","",""
"2020-12-03,19:43:08","white_give","#0","ok","",""
"2020-12-03,19:50:29",".misoudon","#0","老路你好了告诉我","",""
"2020-12-03,19:52:26","Deleted User","#0000","ok","",""
"2020-12-03,20:17:47","white_give","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/783985323901845504/Screen_Shot_2020-12-03_at_8.21.41_pm.png?ex=65e9863a&is=65d7113a&hm=e2b61305e66c46cca8babf129401ddf20a62d140b887d2aaed7aeb94e0e1167e&"
"2020-12-03,22:13:41","itwillbe_fine","#0","遛了？","",""
"2020-12-03,22:19:01",".misoudon","#0","<@!650875400813150208>","itwillbe_fine#0",""
"2020-12-05,17:29:15","然_","#5256","我可以","",""
"2020-12-05,17:57:26",".misoudon","#0","今晚clash？","",""
"2020-12-06,17:16:39","Deleted User","#0000","<@!486098923488935948> 来","然_#5256",""
"2020-12-06,17:16:41","Deleted User","#0000","我退了","",""
"2020-12-06,18:49:05",".misoudon","#0","所以今晚打不打","",""
"2020-12-06,19:31:11","Deleted User","#0000","我可以","",""
"2020-12-06,19:31:16","Deleted User","#0000","他们就不知道了","",""
"2020-12-06,19:31:37","Deleted User","#0000","我们可以拉人自己打","",""
"2020-12-06,19:32:20",".misoudon","#0","我在吃饭","",""
"2020-12-06,19:32:24",".misoudon","#0","吃完饭看看吧","",""
"2020-12-06,20:24:47","white_give","#0","1","",""
"2020-12-06,20:24:51","white_give","#0","clash","",""
"2020-12-06,20:25:05",".misoudon","#0","哎哟卧槽","",""
