Date,Username,User tag,Content,Mentions,link
"2020-09-04,09:32:55","itwillbe_fine","#0","<@456226577798135808> 你网是不是也崩了","Deleted User#0000",""
"2020-09-04,09:33:08","Deleted User","#0000","没有","",""
"2020-09-04,15:23:30","white_give","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/751311456615530587/Screen_Shot_2020-09-04_at_3.23.10_PM.png?ex=65eaa0d1&is=65d82bd1&hm=37b5bd86f7f020b8b6331ae1b7edf18219fe9d3d1c39be7fcdee5175a4813c46&"
"2020-09-04,16:22:08","white_give","#0","<@!534634605664403456> <@!650875400813150208> <@!486098923488935948> <@!714137754694451271>",".misoudon#0、itwillbe_fine#0、然_#5256、watashinokato#0",""
"2020-09-04,16:22:11","white_give","#0","lol?","",""
"2020-09-04,16:22:42","watashinokato","#0","1","",""
"2020-09-04,16:29:20","itwillbe_fine","#0","？","",""
"2020-09-04,16:29:29","itwillbe_fine","#0","你不是不能玩吗","",""
"2020-09-04,16:29:41","white_give","#0","我搬回去了","",""
"2020-09-04,16:29:51","itwillbe_fine","#0","👌","",""
"2020-09-04,16:30:01","itwillbe_fine","#0","等会来","",""
"2020-09-04,16:30:10","white_give","#0","👌","",""
"2020-09-04,16:33:52","watashinokato","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/751329166829289512/unknown.png?ex=65eab150&is=65d83c50&hm=1fa13db3537b97a8c7f031a708bbedcb20cfb0c415cdee139decd5aa9796d703&"
"2020-09-04,16:57:35","然_","#5256","可以","",""
"2020-09-04,17:12:17","Deleted User","#0000","? <@!650875400813150208>","itwillbe_fine#0",""
"2020-09-04,17:12:29","watashinokato","#0","<@!650875400813150208> ?","itwillbe_fine#0",""
"2020-09-04,17:12:32","white_give","#0","? <@!650875400813150208>","itwillbe_fine#0",""
"2020-09-04,17:12:46","然_","#5256","<@!650875400813150208>","itwillbe_fine#0",""
"2020-09-04,17:28:52","watashinokato","#0","不好意思 突发状况","",""
"2020-09-04,17:36:34","Deleted User","#0000","<@!650875400813150208> ?","itwillbe_fine#0",""
"2020-09-04,18:07:30","Deleted User","#0000","<@!534634605664403456>",".misoudon#0",""
"2020-09-04,18:08:10",".misoudon","#0","不在家","",""
"2020-09-04,18:08:25","Deleted User","#0000","so?","",""
"2020-09-04,18:08:45","Deleted User","#0000","不在家和你玩不玩有什么联系吗","",""
"2020-09-04,18:08:52",".misoudon","#0","现在不玩","",""
"2020-09-04,18:09:07","Deleted User","#0000","那你是可以玩，不过你不想？","",""
"2020-09-04,18:09:17","Deleted User","#0000","可以玩那为什么不来呢","",""
"2020-09-04,18:09:33",".misoudon","#0","我不在家我怎么玩","",""
"2020-09-04,18:10:20",".misoudon","#0","我晚上在玩","",""
"2020-09-04,18:10:35","Deleted User","#0000","现在呢","",""
"2020-09-04,18:27:45","然_","#5256","https://www.bilibili.com/video/BV1B741157pW/","",""
"2020-09-04,20:17:19","然_","#5256","等我五分钟","",""
"2020-09-04,20:17:24","然_","#5256","你们可以进mc了","",""
"2020-09-04,20:26:47","white_give","#0","<@!486098923488935948> <@!714137754694451271>","然_#5256、watashinokato#0",""
"2020-09-04,21:33:23","white_give","#0","<@!534634605664403456>",".misoudon#0",""
"2020-09-04,21:33:26","white_give","#0","<@!534634605664403456>",".misoudon#0",""
"2020-09-04,23:58:54",".misoudon","#0","http://nbastreams.xyz/games/","",""
"2020-09-05,00:39:01","watashinokato","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/751451259382399006/unknown.png?ex=65eb2305&is=65d8ae05&hm=4714867858abc0175edaca669886b8fb54926dc00a3b547efa4c1f17d6ca60c6&"
"2020-09-05,15:47:05","white_give","#0","<@!534634605664403456>",".misoudon#0",""
"2020-09-05,15:47:07","white_give","#0","lai ma","",""
"2020-09-05,15:47:12",".misoudon","#0","嗯","",""
"2020-09-05,15:47:14",".misoudon","#0","来了","",""
"2020-09-05,15:47:16","white_give","#0","ok","",""
"2020-09-05,15:48:25","white_give","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/751680117654159370/IMG_3283.HEIC?ex=65ebf829&is=65d98329&hm=85cc444a265e5ef637156ef057d0b64fe142686ea55670e82fab391724fbe11f&"
"2020-09-05,15:48:52","Deleted User","#0000","👴","",""
"2020-09-05,15:50:28","white_give","#0","ni lai ma","",""
"2020-09-05,15:50:39","Deleted User","#0000","在上课","",""
"2020-09-05,15:50:44","white_give","#0","ji dian","",""
"2020-09-05,15:50:47","white_give","#0","xia ke","",""
"2020-09-05,15:50:55","Deleted User","#0000","五点","",""
"2020-09-05,15:50:58","white_give","#0","ok","",""
"2020-09-05,18:03:22","watashinokato","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/751714076022931486/WeChat_20200905180238.mp4?ex=65ec17c9&is=65d9a2c9&hm=993afdfd30041a7da2a5dcd180f951258c7fdc960b46fde00cc998de1b491e45&"
"2020-09-05,23:10:53","watashinokato","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/751791468565233705/WeChat_20200905231006.mp4?ex=65ec5fdd&is=65d9eadd&hm=0ea4946bc194ba8c76123b233820811207751f2275b2c6bf2df7af70712ec0c9&"
"2020-09-05,23:24:19","watashinokato","#0","哦呦","",""
"2020-09-05,23:24:21","watashinokato","#0","开始了","",""
"2020-09-06,01:01:01","watashinokato","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/751819185113399296/WeChat_20200906010040.mp4?ex=65ec79ad&is=65da04ad&hm=92be8ba350e7ceb3c1a027e6d207ce07cdc46452aa161d1bbe06030c86b60b6d&"
"2020-09-06,01:26:21","itwillbe_fine","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/751825557586706512/2020-09-06_01.25.53.png?ex=65ec7f9d&is=65da0a9d&hm=3d76e1bf65d2e9451a381b5891889558a4b05fd502a71f024cff01a6137e9b1c&"
"2020-09-06,01:29:48","itwillbe_fine","#0","","","https://cdn.discordapp.com/attachments/650879635092930581/751826426625392650/2020-09-06_01.29.40.png?ex=65ec806c&is=65da0b6c&hm=a68c2ff967308da2307933309a23601f2451fbd4f5be86e6c61c2193a58f3df5&"
"2020-09-06,13:07:34","Deleted User","#0000","dd","",""
"2020-09-06,13:08:57","white_give","#0","d nlm","",""
"2020-09-06,13:09:10","Deleted User","#0000","dnmlggb","",""
"2020-09-06,13:09:16","Deleted User","#0000","sbdx","",""
"2020-09-06,13:09:33","white_give","#0","5 mins","",""
"2020-09-06,13:15:54","Deleted User","#0000","<@!534634605664403456>",".misoudon#0",""
"2020-09-06,13:16:02","Deleted User","#0000","你来吗","",""
"2020-09-06,13:16:14",".misoudon","#0","今天不想打","",""
"2020-09-06,13:16:17",".misoudon","#0","累","",""
"2020-09-06,13:16:21","Deleted User","#0000","行吧","",""
"2020-09-06,13:16:43",".misoudon","#0","昨天打完现在我浑身没劲","",""
"2020-09-06,13:16:54","Deleted User","#0000","真的啊","",""
"2020-09-06,13:16:59","Deleted User","#0000","夸张","",""
"2020-09-06,13:17:13",".misoudon","#0","真的","",""
"2020-09-06,13:18:54","white_give","#0","一会儿文明吧","",""
"2020-09-06,13:19:00","white_give","#0","我一边写作业一边打","",""
"2020-09-06,13:19:06",".misoudon","#0","也行","",""
"2020-09-06,13:19:15",".misoudon","#0","我一会也得写作业","",""
"2020-09-06,14:32:45","然_","#5256","来了","",""
"2020-09-06,14:32:50","然_","#5256","<@456226577798135808>","Deleted User#0000",""
"2020-09-06,14:33:22","watashinokato","#0","准备抽一波了","","https://cdn.discordapp.com/attachments/650879635092930581/752023620062150696/unknown.png?ex=65ed3812&is=65dac312&hm=face33882633d0b3f43b45ffbe429d67b61eac6a394b1afa4187f37ea4546351&"
"2020-09-06,14:33:43","然_","#5256","nb","",""
"2020-09-06,14:43:23","watashinokato","#0","<@!534634605664403456> <@456226577798135808> <@!650875400813150208> 开球 围观吗",".misoudon#0、itwillbe_fine#0、Deleted User#0000",""
"2020-09-06,14:43:44",".misoudon","#0","行","",""
"2020-09-06,15:07:51","watashinokato","#0","<@!534634605664403456>",".misoudon#0",""
"2020-09-06,20:35:52","white_give","#0","<@!534634605664403456>",".misoudon#0",""
"2020-09-06,20:38:00","itwillbe_fine","#0","<@!534634605664403456>",".misoudon#0",""
"2020-09-06,20:40:54","white_give","#0","ni wan bu wan","",""
"2020-09-06,20:40:56","itwillbe_fine","#0","<@!534634605664403456> wan ma",".misoudon#0",""
"2020-09-06,20:43:28",".misoudon","#0","我今天不完","",""
"2020-09-06,20:43:30",".misoudon","#0","玩","",""
"2020-09-06,21:28:50","watashinokato","#0","2","",""
"2020-09-06,23:59:11","Deleted User","#0000","😭","",""
"2020-09-07,10:45:14","Deleted User","#0000","will倒了","",""
"2020-09-07,10:45:17","Deleted User","#0000","🙅","",""
"2020-09-07,10:45:23","itwillbe_fine","#0","裂了","",""
"2020-09-07,10:45:27","然_","#5256","?","",""
